"No.","Time","Source","Destination","Protocol","Length","Info"
"10","1.481239","192.168.0.63","129.241.162.40","TCP","66","63103  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"13","1.493538","129.241.162.40","192.168.0.63","TCP","66","80  >  63103 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM=1 WS=128"
"15","1.493604","192.168.0.63","129.241.162.40","TCP","54","63103  >  80 [ACK] Seq=1 Ack=1 Win=262656 Len=0"
"17","1.493791","192.168.0.63","129.241.162.40","HTTP","385","GET / HTTP/1.1 "
"18","1.505694","129.241.162.40","192.168.0.63","TCP","60","80  >  63103 [ACK] Seq=1 Ack=332 Win=30336 Len=0"
"19","1.506122","129.241.162.40","192.168.0.63","TCP","1514","80  >  63103 [ACK] Seq=1 Ack=332 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"20","1.506122","129.241.162.40","192.168.0.63","TCP","1514","80  >  63103 [ACK] Seq=1461 Ack=332 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"21","1.506122","129.241.162.40","192.168.0.63","TCP","1514","80  >  63103 [ACK] Seq=2921 Ack=332 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"22","1.506122","129.241.162.40","192.168.0.63","TCP","1514","80  >  63103 [ACK] Seq=4381 Ack=332 Win=30336 Len=1460 [TCP segment of a reassembled PDU]"
"23","1.506150","192.168.0.63","129.241.162.40","TCP","54","63103  >  80 [ACK] Seq=332 Ack=5841 Win=262656 Len=0"
"24","1.506167","129.241.162.40","192.168.0.63","HTTP","1171","HTTP/1.1 200 OK  (text/html)"
"31","1.554781","192.168.0.63","129.241.162.40","TCP","54","63103  >  80 [ACK] Seq=332 Ack=6958 Win=261632 Len=0"
"37","1.579427","192.168.0.63","129.241.162.40","HTTP","358","GET /bitmaps/topp_datakommunikasjon.gif HTTP/1.1 "
"44","1.590639","129.241.162.40","192.168.0.63","TCP","1514","80  >  63103 [ACK] Seq=6958 Ack=636 Win=31360 Len=1460 [TCP segment of a reassembled PDU]"
"45","1.590639","129.241.162.40","192.168.0.63","TCP","1514","80  >  63103 [ACK] Seq=8418 Ack=636 Win=31360 Len=1460 [TCP segment of a reassembled PDU]"
"46","1.590639","129.241.162.40","192.168.0.63","HTTP","128","HTTP/1.1 200 OK  (GIF89a)"
"47","1.590690","192.168.0.63","129.241.162.40","TCP","54","63103  >  80 [ACK] Seq=636 Ack=9952 Win=262656 Len=0"
